t,y
876,15.782798798413463
877,15.792909082704236
878,15.810148537176872
879,15.827739232729103
880,15.845212380408901
881,15.86256877012612
882,15.879809186423946
883,15.896934408516117
884,15.91394521032391
885,15.930842360512827
886,15.947626622529052
887,15.964298754635612
888,15.980859509948301
889,15.997309636471332
890,16.01364987713274
891,16.029880969819523
892,16.046003647412547
893,16.062018637821176
894,16.07792666401767
895,16.093728444071346
896,16.109424691182454
897,16.125016113715862
898,16.130644763575518
899,16.13550310066787
900,16.141394760116537
901,16.153974606584317
902,16.164272387563486
903,16.175433908507355
904,16.187986237028763
905,16.201054202932177
906,16.21390171494961
907,16.223932742743376
908,16.234030007533732
909,16.242128446947238
910,16.250172825161098
911,16.260960645414652
912,16.272076041320254
913,16.2847821569312
914,16.29733686760338
915,16.30840929659999
916,16.31760979920791
917,16.326149563777975
918,16.33509847590014
919,16.34365471265469
920,16.35295292493596
921,16.362588619380627
922,16.37275930313198
923,16.382329424474218
924,16.392434959306847
925,16.402872573757637
926,16.414305887964293
927,16.42646191344927
928,16.4361398777566
929,16.446019597309707
930,16.455433921210858
931,16.465051755506902
932,16.47413937706662
933,16.485097125195473
934,16.49571546814566
935,16.506129827153227
936,16.514277741768925
937,16.5209066757914
938,16.527291673551797
939,16.53343436580956
940,16.539269800770608
941,16.543934612695498
942,16.54890116191371
943,16.553568311096242
944,16.560267949423487
945,16.565524991770587
946,16.571412641555764
947,16.5779266862037
948,16.584397291550815
949,16.5916235186579
950,16.599001249747886
951,16.60659603597644
952,16.61553797925934
953,16.626683375699443
954,16.637088856042645
955,16.64629344637928
956,16.655370108101472
957,16.66445281228986
958,16.673474962022926
959,16.682237292846345
960,16.68954353666762
961,16.696867627997133
962,16.70381012240129
963,16.711105657709584
964,16.718152901519264
965,16.725685585621495
966,16.7327021981126
967,16.74040409788003
968,16.733613307183937
969,16.72393961000564
970,16.71453003655491
971,16.704983535399712
972,16.696964701202432
973,16.689465137447474
974,16.68434466265199
975,16.67932485896938
976,16.673406885712026
977,16.666530193268486
978,16.659233525749233
979,16.651186972609874
980,16.64306095729225
981,16.636386459431296
982,16.63075454815544
983,16.624561305188323
984,16.618475869813096
985,16.61283021609854
986,16.606956027776416
987,16.60125405450446
988,16.596122368334306
989,16.589694147580364
990,16.58370797017182
991,16.57809435148686
992,16.573383081610725
993,16.567439055646858
994,16.56166769660436
995,16.55660011406816
996,16.55123363090449
997,16.54537064596531
998,16.53901447079321
999,16.533632063878375
1000,16.528352041759646
1001,16.523439838381744
1002,16.51882647148359
1003,16.515840511096513
1004,16.51480374129627
1005,16.517632447408214
1006,16.518845675360854
1007,16.519651666424096
1008,16.519121780158997
1009,16.51846237338611
1010,16.517740834151528
1011,16.516957576733564
1012,16.51611301263526
1013,16.51494145935601
1014,16.513777708612675
1015,16.511889968714108
1016,16.511145662400185
1017,16.51093847906595
1018,16.510267033639263
1019,16.510065698044347
1020,16.509932222489027
1021,16.509267485581155
1022,16.509072803283424
1023,16.50967763098985
1024,16.51001236188568
1025,16.509280594452182
1026,16.508886281514215
1027,16.50816201475603
1028,16.507841663108604
1029,16.507523444528474
1030,16.507140830297583
1031,16.507292875834718
1032,16.507111341183514
1033,16.506931015217155
1034,16.50675188987169
1035,16.50657395713718
1036,16.506530232587806
1037,16.506420287824934
1038,16.50671014033644
1039,16.507131084012688
1040,16.507150165176206
1041,16.506637042665815
1042,16.506326863650003
1043,16.50475508377563
1044,16.503659325657544
1045,16.50210530692269
1046,16.50069464825084
1047,16.499359887293064
1048,16.499164624543575
1049,16.498638130449955
1050,16.497450082796888
1051,16.49540537300685
1052,16.494039324107995
1053,16.492549358991038
1054,16.49126882431705
1055,16.48933177488393
1056,16.488405170558288
1057,16.487817249129446
1058,16.48736624628654
1059,16.487250756768493
1060,16.487069534025213
1061,16.48762103435291
1062,16.488301866351932
1063,16.489044667741307
1064,16.489716024921936
1065,16.490449413916455
1066,16.491177921873252
1067,16.49190158133084
1068,16.492886420463947
1069,16.494130699680902
1070,16.49702915427565
1071,16.499642327784592
1072,16.503568061498147
1073,16.5082656360125
1074,16.513264432964952
1075,16.51756499873925
1076,16.52177044915764
1077,16.525615434497674
1078,16.530764742791757
1079,16.535347823510822
1080,16.538902983828358
1081,16.542899948105816
1082,16.54820019854198
1083,16.554462587240383
1084,16.558555512057804
1085,16.56268769512324
1086,16.56360072415092
1087,16.56424170761843
1088,16.563947534570406
1089,16.56205951254078
1090,16.56045001958874
1091,16.55798684877381
1092,16.555540067192045
1093,16.553508509853263
1094,16.550759075280883
1095,16.54769548366702
1096,16.544519295973554
1097,16.542295093805162
1098,16.540684092912063
1099,16.539283277228005
1100,16.537692315626863
1101,16.53531407894598
1102,16.533084641057407
1103,16.530803547995635
1104,16.528338168617687
1105,16.525623242486546
1106,16.523923682273615
1107,16.524163541598348
1108,16.523338023318033
1109,16.523049885732078
1110,16.52316257995882
1111,16.523673437780204
1112,16.52398144123866
1113,16.52508521589338
1114,16.52618164773308
1115,16.527603208104257
1116,16.528283985258376
1117,16.529159685579675
1118,16.53009604423347
1119,16.53102617404412
1120,16.532282532488818
1121,16.53392943119287
1122,16.536030753516542
1123,16.5374532733965
1124,16.539464670532176
1125,16.54106379635092
1126,16.541721541124986
1127,16.544169910256276
1128,16.54640254977689
1129,16.54775608565497
1130,16.548701733805334
1131,16.549774052894275
1132,16.550041476094716
1133,16.55030712052619
1134,16.550371558604226
1135,16.549438374388835
1136,16.548112521027846
1137,16.547194361094526
1138,16.546415265899135
1139,16.54537543795732
1140,16.543212392445657
1141,16.54113021190359
1142,16.539793138276323
1143,16.537933135273022
1144,16.535952548033638
1145,16.534317520430037
1146,16.532095072971014
1147,16.529488545164153
1148,16.525968678862494
1149,16.521009739226443
1150,16.516748543369168
1151,16.513047496321004
1152,16.50990287089128
1153,16.506579732168618
1154,16.502348037517443
1155,16.49774563429743
1156,16.494503341116623
1157,16.492279734009383
1158,16.489672066741182
1159,16.487081741502287
1160,16.483644477006564
1161,16.47969827860223
1162,16.475778323534346
1163,16.470953805051572
1164,16.46456600589426
1165,16.458553053387817
1166,16.450851785791507
1167,16.44193874594839
1168,16.43175552265302
1169,16.422570634401136
1170,16.413114463414953
1171,16.404053536651585
1172,16.39505286424596
1173,16.38717559524529
1174,16.379350708820546
1175,16.371245498735338
1176,16.362662415628822
1177,16.3534716959867
1178,16.343943265851443
1179,16.334079371597994
1180,16.323616361992485
1181,16.312225869811403
1182,16.30184170395362
1183,16.294584215097842
1184,16.28777380482867
1185,16.281008680132395
1186,16.273889721693113
1187,16.265488710064922
1188,16.257210029169144
1189,16.249119334333358
1190,16.243674728630072
1191,16.23853220101099
1192,16.216540817151554
1193,16.194097441636558
1194,16.171803296057163
1195,16.150189133350764
1196,16.12851928141849
1197,16.106727642409076
1198,16.084748558259722
1199,16.063181484049053
1200,16.04175780915361
1201,16.02107478545626
1202,15.999532274042721
1203,15.97687012299974
1204,15.953494580158054
1205,15.929742723710422
1206,15.905949389195836
1207,15.882646583841565
1208,15.8587675837177
1209,15.835379679566001
1210,15.81367599360585
1211,15.79258186973928
1212,15.771627993286044
1213,15.75121222498218
1214,15.731530382254334
1215,15.71177999949807
1216,15.691429810494224
1217,15.670616734179024
1218,15.649875568361843
1219,15.629737553138527
1220,15.60999928295884
1221,15.589993453455063
1222,15.569655379289632
1223,15.55124705622743
1224,15.533359902876757
1225,15.518316695060044
1226,15.505500344466741
1227,15.493899084936464
1228,15.480979215937744
1229,15.469075730708694
1230,15.456786137950887
1231,15.443448371974528
1232,15.431661467521245
1233,15.4188895144894
1234,15.405338452055293
1235,15.39187747791271
1236,15.379104157318103
1237,15.365684665295166
1238,15.352819623352083
1239,15.340106570167954
1240,15.32508539133632
1241,15.308768367076233
1242,15.292958588951368
1243,15.276855140763352
1244,15.260127666054796
1245,15.24371077789493
1246,15.226671948615293
1247,15.208948852108987
1248,15.191542958733615
1249,15.1735881626616
1250,15.156018569746525
1251,15.13843285215738
1252,15.120964038816618
1253,15.103079665486254
1254,15.086244631341069
1255,15.068856903748893
1256,15.053645039242166
1257,15.03926536150518
1258,15.0254464957943
1259,15.011121349464451
1260,14.99582806775852
1261,14.98103520826562
1262,14.96640714390072
1263,14.95353781474996
1264,14.940288815533798
1265,14.926396831957623
1266,14.913793465681852
