t,y
2268.0,-0.21708113
642.0,-1.1349411
2.0,-2.0528011
2161.0,13.652804
699.0,11.103193
1637.0,18.752028
1292.0,21.556599
2896.0,-2.0528011
2490.0,-2.0528011
1521.0,23.443312
1854.0,19.873856
1137.0,23.953234
2938.0,-2.0528011
1632.0,22.72942
1999.0,22.678429
664.0,3.3523746
684.0,5.952978
1258.0,20.638739
318.0,-2.0528011
649.0,2.026577
1435.0,14.978602
1480.0,22.01553
710.0,4.8311496
1283.0,16.610353
1769.0,22.678429
973.0,18.548058
2676.0,-2.0528011
2681.0,-2.0528011
1307.0,22.576445
1401.0,20.944693
1409.0,19.771872
2238.0,18.242105
1497.0,19.669888
2039.0,21.454615
1530.0,18.650043
1664.0,8.043659
1355.0,21.556599
2964.0,-2.0528011
2984.0,-2.0528011
1644.0,20.281794
1052.0,19.822865
796.0,13.397843
2694.0,-2.0528011
1598.0,22.882397
2605.0,22.423468
2730.0,-2.0528011
2626.0,2.944437
1820.0,18.34409
1723.0,9.87938
1184.0,23.137358
2573.0,23.18835
1060.0,23.239342
541.0,-2.0018091
1679.0,21.658583
2797.0,8.961519
2928.0,-2.0528011
2533.0,-2.0528011
1758.0,20.026833
1924.0,14.723641
96.0,-2.0528011
1021.0,22.93339
564.0,-1.9508171
2791.0,13.703796
864.0,11.868076
1485.0,21.607592
1882.0,-1.8998241
1039.0,21.301638
207.0,-2.0528011
393.0,-1.9508171
2843.0,-2.0528011
871.0,16.355392
398.0,-2.0528011
2815.0,-2.0528011
2922.0,-2.0528011
1029.0,17.47722
2691.0,-2.0528011
1486.0,19.108973
2661.0,10.440294
961.0,23.239342
1571.0,17.42623
2774.0,-2.0528011
1896.0,20.842709
2732.0,-2.0528011
2147.0,13.040898
805.0,13.499828
1752.0,7.482745
2455.0,9.624418
503.0,-1.9508171
780.0,12.938913
1864.0,12.785936
201.0,-2.0528011
2183.0,15.029594
2089.0,11.970061
2279.0,10.695255
1797.0,22.01553
379.0,-2.0528011
2337.0,4.9331336
419.0,-2.0528011
1699.0,22.93339
392.0,-2.0528011
2641.0,-2.0528011
1523.0,22.72942
1163.0,17.885159
1496.0,16.355392
2696.0,-2.0528011
2028.0,4.780157
1153.0,21.913546
1368.0,18.650043
2569.0,-2.0528011
65.0,-2.0528011
2063.0,15.488524
1181.0,22.525452
493.0,-1.8998241
380.0,-2.0528011
2236.0,22.372475
764.0,16.202415
2265.0,18.905005
792.0,9.012512
1077.0,18.955996
879.0,21.14866
338.0,-1.9508171
2768.0,-2.0528011
2344.0,-2.0528011
1017.0,23.443312
1276.0,21.301638
456.0,-2.0018091
816.0,11.205178
2318.0,-2.0528011
996.0,19.618895
1982.0,-2.0528011
202.0,-2.0528011
162.0,-2.0528011
1580.0,21.454615
2778.0,24.004227
2450.0,20.332787
703.0,11.25617
1501.0,18.701035
1130.0,20.485764
2614.0,15.590509
1022.0,22.168507
1586.0,23.18835
1956.0,16.457376
2254.0,-2.0528011
35.0,-2.0528011
776.0,6.9218307
2557.0,10.746247
1479.0,13.040898
1391.0,21.14866
2140.0,19.26195
1364.0,19.414927
2946.0,-2.0528011
2613.0,17.834167
2825.0,-2.0528011
2042.0,22.882397
242.0,-2.0528011
2062.0,16.406385
2364.0,-2.0528011
601.0,-1.7468472
2436.0,6.9728227
1298.0,19.924849
2215.0,15.794478
2889.0,-2.0528011
2069.0,11.052201
647.0,4.066266
1529.0,21.913546
2880.0,-2.0528011
1268.0,22.423468
1900.0,16.355392
563.0,-1.3899021
2735.0,-2.0528011
190.0,-2.0528011
1807.0,23.392319
976.0,16.865314
2748.0,15.896462
2048.0,23.698273
2559.0,8.859535
1083.0,23.902243
475.0,-2.0528011
2905.0,-2.0528011
748.0,7.278776
2301.0,11.307162
22.0,-2.0528011
460.0,-1.9508171
1185.0,19.363934
2325.0,-2.0528011
956.0,22.72942
1216.0,21.658583
2434.0,8.553582
2854.0,-2.0528011
1516.0,21.658583
2392.0,17.120275
770.0,11.307162
1686.0,15.896462
131.0,-2.0528011
2920.0,-1.2879171
2136.0,17.22226
1483.0,22.321484
331.0,-2.0528011
1239.0,19.97584
467.0,-1.5938711
2170.0,7.3807607
1639.0,23.953234
1096.0,20.995684
1131.0,19.618895
1295.0,23.086367
861.0,14.213719
