y,t,y_smooth,return,rolling_vol,vol_label,E_t
9.83,1454,11.453818484806211,-0.002859965564410317,0.0009386206508645354,0.0009388898689012958,0
9.76,1455,11.42027752471103,-0.002932660955896023,0.000938619047534594,0.0009386206508645354,0
9.56,1456,11.383440346003871,-0.003230807446274006,0.0009537999651565107,0.000938619047534594,0
9.48,1457,11.345748457964183,-0.003316609573297444,0.0009671439293250359,0.0009537999651565107,0
9.37,1458,11.3066247261233,-0.003454275666838762,0.000962928344692542,0.0009671439293250359,0
9.5,1459,11.270849979071347,-0.003169068060935589,0.0009482633787022189,0.000962928344692542,0
9.56,1460,11.236971761663986,-0.0030103528792728897,0.0009382899107357227,0.0009482633787022189,0
9.29,1461,11.198417865393402,-0.003436885640225527,0.0009333231210447038,0.0009382899107357227,0
9.35,1462,11.161815531425209,-0.003273880554956752,0.0009349725527878421,0.0009333231210447038,0
9.31,1463,11.125145916941532,-0.0032906816533631446,0.0009339543326262648,0.0009349725527878421,0
9.26,1464,11.088212334427832,-0.0033253519013143385,0.0009281112072595224,0.0009339543326262648,0
9.37,1465,11.054188327805493,-0.0030732018555580565,0.0009217606897301465,0.0009281112072595224,0
9.6,1466,11.025392519334092,-0.0026083669791530898,0.0008954561211926013,0.0009217606897301465,0
9.57,1467,10.996572865485888,-0.002617356788747248,0.0008680012314499385,0.0008954561211926013,0
9.38,1468,10.964561521614876,-0.0029152744096296456,0.0008437747819497598,0.0008680012314499385,0
9.57,1469,10.936946441978932,-0.0025217527775787604,0.0008269088415536386,0.0008437747819497598,0
9.49,1470,10.908294037187266,-0.002623218659406907,0.000819748803406906,0.0008269088415536386,0
9.41,1471,10.878624848332066,-0.0027235799014373513,0.0008194087064630201,0.000819748803406906,0
9.44,1472,10.850137227573011,-0.0026221132139699357,0.0008169654331876354,0.0008194087064630201,0
9.51,1473,10.823599856729977,-0.0024488055752532067,0.0008133586022889912,0.0008169654331876354,0
9.56,1474,10.798578077388786,-0.002314456072552722,0.0008045509366298753,0.0008133586022889912,0
9.87,1475,10.780190392688015,-0.001704238977006337,0.0007915168003578194,0.0008045509366298753,0
9.96,1476,10.7639489987734,-0.001507732260383587,0.0007782821850931675,0.0007915168003578194,0
10.02,1477,10.749217335431348,-0.0013695488070731077,0.0007664965884832386,0.0007782821850931675,0
10.02,1478,10.734777388195083,-0.001344251811309269,0.0007604211207595618,0.0007664965884832386,0
9.96,1479,10.71943526169617,-0.0014302206624416767,0.0007532176898202408,0.0007604211207595618,0
9.99,1480,10.704990999088322,-0.0013483922155513631,0.0007476057929008889,0.0007532176898202408,0
10.13,1481,10.693605038710333,-0.0010641783631415308,0.0007441439991679022,0.0007476057929008889,0
10.17,1482,10.683236622102205,-0.0009700607400958113,0.0007398480896599795,0.0007441439991679022,0
9.91,1483,10.667925005822951,-0.001434265654571685,0.000730773087385096,0.0007398480896599795,0
9.79,1484,10.650540352242297,-0.0016309483016013389,0.0007207471951681563,0.000730773087385096,0
9.83,1485,10.634292028435517,-0.0015267516955150939,0.0007104624559445883,0.0007207471951681563,0
9.91,1486,10.619949612030851,-0.0013496052998983562,0.000700378685548801,0.0007104624559445883,0
10.11,1487,10.609851599911428,-0.0009513054578472256,0.0006947400153414552,0.000700378685548801,0
10.05,1488,10.598765429616149,-0.0010454402839713247,0.0006903524020371915,0.0006947400153414552,0
10.14,1489,10.589680965663353,-0.0008574922710203781,0.0006884165814965723,0.0006903524020371915,0
10.07,1490,10.579390253472,-0.0009722403874440713,0.0006868238651432572,0.0006884165814965723,0
9.98,1491,10.56752113954186,-0.0011225388857884213,0.0006827119765863569,0.0006868238651432572,0
10.06,1492,10.557471215986574,-0.0009514724686600178,0.0006803598533330517,0.0006827119765863569,0
9.9,1493,10.54445198398684,-0.001233938113439716,0.0006748950675817772,0.0006803598533330517,0
10.06,1494,10.534858875393038,-0.0009101919242123661,0.0006744233940843632,0.0006748950675817772,0
9.98,1495,10.523871570929808,-0.0010434917231329816,0.0006800927654202702,0.0006744233940843632,0
10.15,1496,10.516468173485652,-0.0007037336696675468,0.0006912837933024352,0.0006800927654202702,0
10.12,1497,10.508617318565143,-0.0007468084054507298,0.0007012839199692396,0.0006912837933024352,0
10.09,1498,10.500327866712366,-0.0007891355048861098,0.0007103789219965426,0.0007012839199692396,0
10.07,1499,10.491806522817072,-0.0008118606907921178,0.0007186378994765303,0.0007103789219965426,0
10.3,1500,10.488008373850397,-0.00036207650323675556,0.0007345886638110233,0.0007186378994765303,0
10.33,1501,10.48487949516029,-0.0002983736653588394,0.0007507959661407696,0.0007345886638110233,0
10.3,1502,10.481218515058107,-0.00034922856295030794,0.0007661328653660517,0.0007507959661407696,0
10.32,1503,10.478026069215373,-0.00030463367652266044,0.0007818343803312398,0.0007661328653660517,0
10.17,1504,10.471926543092295,-0.0005822949968717962,0.0007920550409060973,0.0007818343803312398,0
10.33,1505,10.469116116496409,-0.0002684132455527166,0.0008057299187323811,0.0007920550409060973,0
10.24,1506,10.464579163694498,-0.00043345934028562636,0.0008140571613557628,0.0008057299187323811,0
10.37,1507,10.462706308967874,-0.00017898687663721885,0.0008285012782124427,0.0008140571613557628,0
10.12,1508,10.455920045423957,-0.0006488249913754997,0.0008354262418854867,0.0008285012782124427,0
10.14,1509,10.449664202940314,-0.0005984853229692493,0.0008437706454322872,0.0008354262418854867,0
10.19,1510,10.444522337535554,-0.0004921814494760994,0.0008534070754668061,0.0008437706454322872,0
10.18,1511,10.439284271445741,-0.0005016390256556993,0.0008611368374211636,0.0008534070754668061,0
10.02,1512,10.430981612605231,-0.0007956448015216253,0.0008638789255295029,0.0008611368374211636,0
10.04,1513,10.423239402454632,-0.0007425077638441033,0.0008690678107032551,0.0008638789255295029,0
10.29,1514,10.420600998445629,-0.0002531591081440969,0.0008812710426269527,0.0008690678107032551,0
10.26,1515,10.417420780654625,-0.0003052322192007259,0.0008903123320959384,0.0008812710426269527,0
10.15,1516,10.412125319651564,-0.0005084566981581937,0.0008973555126475017,0.0008903123320959384,0
10.26,1517,10.409112937084204,-0.00028935671848456633,0.0009082018045696002,0.0008973555126475017,0
10.24,1518,10.405764166052833,-0.0003217670749310978,0.0009178613445386149,0.0009082018045696002,0
10.22,1519,10.402085667715154,-0.00035356833170051933,0.0009270751058654143,0.0009178613445386149,0
10.49,1520,10.403826545582179,0.00016734453680676835,0.0009440001602619764,0.0009270751058654143,0
10.35,1521,10.402760673392434,-0.00010245526375462267,0.0009544237385538115,0.0009440001602619764,0
10.41,1522,10.402904026394564,1.3780189597546605e-05,0.0009665639040872012,0.0009544237385538115,0
10.48,1523,10.404430679337247,0.00014674180686885465,0.000981678134332357,0.0009665639040872012,0
10.62,1524,10.408699378756312,0.0004101929375354184,0.0010010590774996995,0.000981678134332357,0
10.16,1525,10.403774638582918,-0.00047324890459484576,0.001006228867173577,0.0010010590774996995,0
10.15,1526,10.398749398214939,-0.00048313757088708264,0.0010111873267571643,0.001006228867173577,0
10.17,1527,10.394219707161175,-0.0004356944986993692,0.001016867174143382,0.0010111873267571643,0
9.8,1528,10.382452980286695,-0.0011326864806055197,0.0010171813287108067,0.001016867174143382,0
10.03,1529,10.375473713350322,-0.0006724435732305215,0.0010196208014315387,0.0010171813287108067,0
10.03,1530,10.368632649719622,-0.0006595669882298536,0.0010218248824622475,0.0010196208014315387,0
10.05,1531,10.36232309229943,-0.0006087088018064284,0.001024990175299556,0.0010218248824622475,0
10.29,1532,10.360890951857856,-0.00013821605478787002,0.001033464812943204,0.001024990175299556,0
10.19,1533,10.357506972613148,-0.0003266641838945173,0.0010391026762978782,0.001033464812943204,0
10.38,1534,10.357952379096057,4.300232743242329e-05,0.0010486888986950727,0.0010391026762978782,0
10.62,1535,10.363141440896136,0.0005008482615473856,0.0010652837176947066,0.0010486888986950727,0
10.45,1536,10.36486141236354,0.0001659563136426792,0.0010750740530940475,0.0010652837176947066,0
10.74,1537,10.372289899247432,0.0007164423975130194,0.0010942736146993099,0.0010750740530940475,0
10.84,1538,10.38155148540095,0.0008925178328839986,0.0011149330050754436,0.0010942736146993099,1
10.92,1539,10.392213832224693,0.0010265204787866182,0.0011346585385345487,0.0011149330050754436,1
10.79,1540,10.400090786042027,0.0007576797607367527,0.0011498981303856325,0.0011346585385345487,1
10.95,1541,10.410980077407531,0.001046490344560434,0.0011713246231311956,0.0011498981303856325,1
10.98,1542,10.422247798646987,0.001081706820006826,0.0011930975121807776,0.0011713246231311956,1
10.89,1543,10.43151021847576,0.0008883214651537024,0.001209672200923781,0.0011930975121807776,1
11.18,1544,10.446331798307922,0.0014198385360134837,0.0012345168429506305,0.001209672200923781,1
11.14,1545,10.460067802301824,0.0013140479693140364,0.001256824297053534,0.0012345168429506305,1
11.03,1546,10.471353588394855,0.0010783584139865202,0.0012714006753400942,0.001256824297053534,1
10.9,1547,10.479841636149411,0.000810268638898921,0.0012810719533924446,0.0012714006753400942,1
11.06,1548,10.491329920582094,0.001095626493809799,0.0012936915355745717,0.0012810719533924446,1
10.75,1549,10.496452100372549,0.0004881106433294467,0.00129482217118561,0.0012936915355745717,1
10.8,1550,10.502462949870122,0.0005724914499021681,0.0012969371841606188,0.00129482217118561,1
10.82,1551,10.508750812248932,0.0005985244486786522,0.0013005334681138504,0.0012969371841606188,1
10.7,1552,10.512537924877668,0.0003603121309132276,0.0012933960653849401,0.0013005334681138504,1
10.77,1553,10.517636183790982,0.0004848518121482199,0.001286651631985615,0.0012933960653849401,1
10.76,1554,10.52243546728027,0.00045620410919850694,0.0012778437346724636,0.001286651631985615,1
10.88,1555,10.5295159530767,0.0006726679082650343,0.0012692683960893098,0.0012778437346724636,1
